DEBUG 2025-07-27 17:41:17,596 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1753647563.5138862
DEBUG 2025-07-27 17:41:17,596 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1753647577.9532766
DEBUG 2025-07-27 17:41:17,601 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\asgiref\local.py first seen with mtime 1753647376.4439788
DEBUG 2025-07-27 17:41:17,601 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,603 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1753647404.2259378
DEBUG 2025-07-27 17:41:17,603 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\http\response.py first seen with mtime 1753647574.5042171
DEBUG 2025-07-27 17:41:17,612 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\DLLs\_queue.pyd first seen with mtime 1725665528.0
DEBUG 2025-07-27 17:41:17,612 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1753647566.1284063
DEBUG 2025-07-27 17:41:17,616 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1753647562.9824734
DEBUG 2025-07-27 17:41:17,616 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\forms\models.py first seen with mtime 1753647570.783641
DEBUG 2025-07-27 17:41:17,616 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1753647565.0828135
DEBUG 2025-07-27 17:41:17,616 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1753647576.70495
DEBUG 2025-07-27 17:41:17,622 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1753647579.4236503
DEBUG 2025-07-27 17:41:17,622 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1753647577.269218
DEBUG 2025-07-27 17:41:17,631 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\fields\tuple_lookups.py first seen with mtime 1753647569.9601567
DEBUG 2025-07-27 17:41:17,631 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\DLLs\_sqlite3.pyd first seen with mtime 1725665528.0
